scenario,year,revenue_krw_bn,revenue_growth,operating_margin,ebit_krw_bn,net_margin,net_income_krw_bn,eps_krw,tax_rate,nopat_krw_bn,d_and_a_krw_bn,maintenance_capex_krw_bn,growth_capex_krw_bn,capex_krw_bn,nwc_to_sales,core_nwc_krw_bn,delta_core_nwc_krw_bn,fcff_krw_bn
Base,2026,3100.0,0.318148,0.235,728.5,0.185,573.5,76132,0.26,539.09,80,100,150,250,0.121,375.1,74.523,294.567
Base,2027,3720.0,0.2,0.238,885.36,0.188,699.36,92839,0.26,655.166,105,120,60,180,0.118,438.96,63.86,516.306
Base,2028,4315.2,0.16,0.24,1035.648,0.19,819.888,108839,0.26,766.38,120,140,30,170,0.115,496.248,57.288,659.092
Base,2029,4833.024,0.12,0.238,1150.26,0.187,903.775,119975,0.26,851.192,130,155,25,180,0.112,541.299,45.051,756.141
Base,2030,5267.996,0.09,0.235,1237.979,0.184,969.311,128675,0.26,916.105,140,170,20,190,0.11,579.48,38.181,827.924
Bull,2026,3250.0,0.381929,0.245,796.25,0.195,633.75,84130,0.255,593.206,82,100,180,280,0.12,390.0,89.423,305.784
Bull,2027,4095.0,0.26,0.25,1023.75,0.2,819.0,108721,0.255,762.694,110,125,95,220,0.116,475.02,85.02,567.674
Bull,2028,4914.0,0.2,0.253,1243.242,0.202,992.628,131770,0.255,926.215,130,150,80,230,0.112,550.368,75.348,750.867
Bull,2029,5651.1,0.15,0.25,1412.775,0.2,1130.22,150036,0.255,1052.517,145,170,80,250,0.109,615.97,65.602,881.915
Bull,2030,6272.721,0.11,0.247,1549.362,0.198,1241.999,164874,0.255,1154.275,160,190,80,270,0.107,671.181,55.211,989.064
Bear,2026,2950.0,0.254366,0.22,649.0,0.17,501.5,66574,0.27,473.77,80,100,120,220,0.123,362.85,62.273,271.497
Bear,2027,3304.0,0.12,0.215,710.36,0.165,545.16,72369,0.27,518.563,105,115,45,160,0.123,406.392,43.542,420.021
Bear,2028,3634.4,0.1,0.21,763.224,0.16,581.504,77194,0.27,557.154,120,130,20,150,0.122,443.397,37.005,490.149
Bear,2029,3925.152,0.08,0.205,804.656,0.155,608.399,80764,0.27,587.399,130,145,15,160,0.121,474.943,31.547,525.852
Bear,2030,4160.661,0.06,0.2,832.132,0.15,624.099,82849,0.27,607.457,140,160,10,170,0.12,499.279,24.336,553.121
